,Concrete Mix (N/mm^2),Breadth mm,Depth mm,Length mm,Elastic modulus of Beam at first crack N/mm^2
,40,150,180,2500,427477.819567655
,40,150,180,2500,465459.262161157
,40,150,180,2500,505920.205458093
,40,150,180,2500,450413.201074414
,40,150,180,2500,495720.441200787
,40,150,180,2500,533589.17921686
,25,150,250,2500,25320.2160493827
,25,150,250,2500,25320.2160493827
,25,150,250,2500,29106.2242798354
,25,150,250,2500,32892.2325102881
,25,150,250,2500,32892.2325102881
,25,150,250,2500,29106.2242798354
,38.2,200,300,1850,16985.866057331
,38.2,200,300,1850,16652.9273856346
,38.2,200,300,1850,14488.8260196081
,38.2,200,300,1850,13989.4180120635
,20,150,150,700,17683.7733831225
,25,150,150,700,19928.2686328304
,30,150,150,700,23160.3417924097
,35,90,222,1200,33997.508133441
,35,90,222,1200,25019.2489302795
,35,90,222,1200,32501.1315995807
,35,90,222,1200,30256.5667987904
,35,90,222,1200,18285.5545279084
,35,90,222,1200,32501.1315995807
,35,90,222,1200,28760.1902649301
,35,90,222,1200,25767.4371972096
,20,150,150,700,17691.4687954072
,20,150,150,700,21364.7455926434
,20,150,150,700,23673.3692780572
,20,150,150,700,24519.8646293756
,20,150,150,700,28393.2221460143
,25,150,150,700,19825.6631357009
,25,150,150,700,20595.2043641721
,25,150,150,700,23224.4702281156
,25,150,150,700,25981.992963471
,25,150,150,700,31035.313697099
,25,150,150,700,37063.3866534573
,27.5,100,200,1400,13562.6328696922
,27.5,100,200,1400,15301.1347214572
,27.5,100,200,1400,15301.1347214572
,25,150,200,1200,20714.4444444444
,25,150,200,1200,16625.5555555556
,25,150,200,1200,16625.5555555556
,25,150,200,1200,14581.1111111111
,31.5,150,200,2200,71079.0972222222
,31.5,150,200,2200,71331.0560699589
,31.5,150,200,2200,71331.0560699589
,31.5,150,200,2200,68307.5498971193
,31.5,150,200,2200,54197.8544238683
,31.5,150,200,2200,56213.5252057613
,40,150,180,2200,290743.605671498
,40,150,180,2200,316626.895318577
,40,150,180,2200,344199.895269026
,40,150,180,2200,306373.425977672
,40,150,180,2200,337249.041521072
,40,150,180,2200,363055.526154361
,25.03,150,200,2200,66115.5079218107
,27.66,150,200,2200,72742.0256172839
,25,200,250,2200,27294.3733298397
,25,200,250,2200,26713.8601447288
,25,200,250,2200,26713.8601447288
,25,200,250,2200,26133.3469596179
,25,200,250,2200,26713.8601447288
,25,200,250,2200,25552.833774507
,25,200,250,2200,25552.833774507
,25,200,250,2200,25552.833774507
,31.5,150,200,2200,71079.0972222222
,31.5,150,200,2200,71331.0560699589
,31.5,150,200,2200,71331.0560699589
,31.5,150,200,2200,68307.5498971193
,31.5,150,200,2200,54197.8544238683
,31.5,150,200,2200,56213.5252057613
,25,150,200,2200,129029.632201646
,25,150,200,2200,103833.747427984
,25,150,200,2200,103833.747427984
,25,150,200,2200,91235.8050411523
,30,150,200,2500,68679.3700167181
,30,150,200,2500,65351.8237204218
,30,150,200,2500,84207.9193994342
,30,150,200,2500,88644.6477944959
,30,150,200,2500,94560.2856545782
,30,150,200,2500,106761.288740998
,30,150,200,2500,102324.560345936
,30,150,200,2500,117483.382362397
,30,150,200,2500,133381.659111368
